Customer ID,final_score,segment,priority,recommended_action,insight
1,2.4,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
2,2.8,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
3,3.1,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
4,3.7,High Value Customer,Priority 1,VIP Treatment,This customer is classified as High Value Customer due to High engagement and High Score value.
5,1.7000000000000002,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Average Score value.
6,1.5999999999999999,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
7,3.1,Infrequent Premium,Priority 2,Re-engagement campaigns,This customer is classified as Infrequent Premium due to Low engagement and High Score value.
8,2.0,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
9,2.5999999999999996,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
10,1.4000000000000001,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
11,2.0,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
12,2.8,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
13,3.4,Loyal Customer,Priority 2,Retention campaigns,This customer is classified as Loyal Customer due to High engagement and Above Average Score value.
14,2.7,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
15,2.7,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
16,2.5,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
17,2.3,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
18,1.7000000000000002,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Average Score value.
19,2.0,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
20,3.7,High Value Customer,Priority 1,VIP Treatment,This customer is classified as High Value Customer due to High engagement and High Score value.
21,2.7,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Above Average Score value.
22,2.5,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Average Score value.
23,1.4000000000000001,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
24,3.7,High Value Customer,Priority 1,VIP Treatment,This customer is classified as High Value Customer due to High engagement and High Score value.
25,1.5999999999999999,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
26,1.0,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
27,1.0,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
28,2.1,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
29,3.8,High Value Customer,Priority 1,VIP Treatment,This customer is classified as High Value Customer due to Medium engagement and High Score value.
30,2.0,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
31,1.7,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
32,3.4000000000000004,High Value Customer,Priority 1,VIP Treatment,This customer is classified as High Value Customer due to Medium engagement and High Score value.
33,2.8,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Above Average Score value.
34,1.7000000000000002,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Average Score value.
35,3.1,Infrequent Premium,Priority 2,Re-engagement campaigns,This customer is classified as Infrequent Premium due to Low engagement and High Score value.
36,2.3,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
37,3.4,Loyal Customer,Priority 2,Retention campaigns,This customer is classified as Loyal Customer due to High engagement and Above Average Score value.
38,2.0,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
39,2.0,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Average Score value.
40,2.5,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
41,2.8,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Above Average Score value.
42,1.7000000000000002,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Average Score value.
