Customer ID,segment,priority,recommended_action,insight
1,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.40, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
2,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.80, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
3,Regular Customer,Priority 2,General Marketing,"Customer has a score of 3.10, placing them in Priority 2, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
4,High Value Customer,Priority 1,VIP Treatment,"Customer has a score of 3.70, placing them in Priority 1, and is a High Value Customer with High Score value and High frequency. Recommended action: VIP Treatment."
5,Regular Customer,Priority 3,General Marketing,"Customer has a score of 1.70, placing them in Priority 3, and is a Regular Customer with Average Score value and Low frequency. Recommended action: General Marketing."
6,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 1.60, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
7,Infrequent Premium,Priority 2,Re-engagement campaigns,"Customer has a score of 3.10, placing them in Priority 2, and is a Infrequent Premium with High Score value and Low frequency. Recommended action: Re-engagement campaigns."
8,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.00, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
9,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 2.60, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
10,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.40, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
11,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.00, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
12,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.80, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
13,Loyal Customer,Priority 2,Retention campaigns,"Customer has a score of 3.40, placing them in Priority 2, and is a Loyal Customer with Above Average Score value and High frequency. Recommended action: Retention campaigns."
14,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.70, placing them in Priority 3, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
15,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.70, placing them in Priority 3, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
16,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 2.50, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
17,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.30, placing them in Priority 3, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
18,Regular Customer,Priority 3,General Marketing,"Customer has a score of 1.70, placing them in Priority 3, and is a Regular Customer with Average Score value and Low frequency. Recommended action: General Marketing."
19,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.00, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
20,High Value Customer,Priority 1,VIP Treatment,"Customer has a score of 3.70, placing them in Priority 1, and is a High Value Customer with High Score value and High frequency. Recommended action: VIP Treatment."
21,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.70, placing them in Priority 3, and is a Regular Customer with Above Average Score value and Medium frequency. Recommended action: General Marketing."
22,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.50, placing them in Priority 3, and is a Regular Customer with Average Score value and Low frequency. Recommended action: General Marketing."
23,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.40, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
24,High Value Customer,Priority 1,VIP Treatment,"Customer has a score of 3.70, placing them in Priority 1, and is a High Value Customer with High Score value and High frequency. Recommended action: VIP Treatment."
25,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 1.60, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
26,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.00, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
27,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.00, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
28,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 2.10, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
29,High Value Customer,Priority 1,VIP Treatment,"Customer has a score of 3.80, placing them in Priority 1, and is a High Value Customer with High Score value and Medium frequency. Recommended action: VIP Treatment."
30,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.00, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
31,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.70, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
32,High Value Customer,Priority 1,VIP Treatment,"Customer has a score of 3.40, placing them in Priority 1, and is a High Value Customer with High Score value and Medium frequency. Recommended action: VIP Treatment."
33,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.80, placing them in Priority 3, and is a Regular Customer with Above Average Score value and Low frequency. Recommended action: General Marketing."
34,Regular Customer,Priority 3,General Marketing,"Customer has a score of 1.70, placing them in Priority 3, and is a Regular Customer with Average Score value and Low frequency. Recommended action: General Marketing."
35,Infrequent Premium,Priority 2,Re-engagement campaigns,"Customer has a score of 3.10, placing them in Priority 2, and is a Infrequent Premium with High Score value and Low frequency. Recommended action: Re-engagement campaigns."
36,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.30, placing them in Priority 3, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
37,Loyal Customer,Priority 2,Retention campaigns,"Customer has a score of 3.40, placing them in Priority 2, and is a Loyal Customer with Above Average Score value and High frequency. Recommended action: Retention campaigns."
38,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.00, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
39,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.00, placing them in Priority 3, and is a Regular Customer with Average Score value and Medium frequency. Recommended action: General Marketing."
40,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 2.50, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
41,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.80, placing them in Priority 3, and is a Regular Customer with Above Average Score value and Low frequency. Recommended action: General Marketing."
42,Regular Customer,Priority 3,General Marketing,"Customer has a score of 1.70, placing them in Priority 3, and is a Regular Customer with Average Score value and Low frequency. Recommended action: General Marketing."
43,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.90, placing them in Priority 3, and is a Regular Customer with Average Score value and Low frequency. Recommended action: General Marketing."
44,Regular Customer,Priority 2,General Marketing,"Customer has a score of 3.10, placing them in Priority 2, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
